Game Name,User Rating
Counter-Strike,90
Team Fortress Classic,80
Day of Defeat,80
Deathmatch Classic,80
Half-Life: Opposing Force,90
Ricochet,80
Half-Life,90
Counter-Strike: Condition Zero,80
Half-Life: Blue Shift,80
Half-Life 2: Demo,40.668
Half-Life 2,90
Counter-Strike: Source,90
Half-Life: Source,50
Day of Defeat: Source,80
Half-Life 2: Deathmatch,80
Half-Life 2: Lost Coast,80
Half-Life Deathmatch: Source,60
Half-Life 2: Episode One,90
Portal,90
Portal: First Slice,52.559
Half-Life 2: Episode Two,90
Team Fortress 2,80
Left 4 Dead,90
Left 4 Dead 2,90
Dota 2,80
Portal 2,90
Alien Swarm,80
Counter-Strike 2,80
Rag Doll Kung Fu,26.068
Rag Doll Kung Fu Demo,0
Red Orchestra: Ostfront 41-45,79.999
Killing Floor,90
SiN Episodes: Emergence,79.711
SiN: Gold,67.358
Darwinia,79.593
Darwinia Demo,0
Uplink,79.999
DEFCON,80
DEFCON Demo,21.324
Multiwinia,75.487
Multiwinia Demo,0
Dangerous Waters,50.181
Space Empires IV Deluxe,57.978
Jagged Alliance 2 Gold,0
Disciples II: Rise of the Elves ,79.846
Disciples II: Gallean's Return,79.942
Iron Warriors: T - 72 Tank Command ,38.094
Space Empires V,53.451
Arx Fatalis,79.997
Arx Fatalis Demo,0
Source Filmmaker,80
Earth 2160,59.935
Two Worlds Epic Edition,60
Dark Messiah of Might & Magic,80
Dark Messiah Singleplayer Demo,0
Quake III Arena,90
Quake 4,80
Wolfenstein 3D,80
Quake,90
Quake II,90
Hexen: Beyond Heretic,77.596
Hexen: Deathkings of the Dark Citadel,37.141
Heretic: Shadow of the Serpent Riders,79.639
The Ship: Murder Party,80
The Ship: Single Player,59.429
Bloody Good Time,59.69
Shadowgrounds,79.964
Shadowgrounds Demo,0
Gumboy - Crazy Adventures™,23.767
RIP - Trilogy™,42.522
Alpha Prime,49.963
Vampire: The Masquerade - Bloodlines,80
GUN™,79.994
Call of Duty® (2003),80
Call of Duty® 2,80
Call of Duty: United Offensive,79.996
RollerCoaster Tycoon® 3: Platinum,80
Act of War: Direct Action,74.886
ThreadSpace: Hyperbol,12.328
ThreadSpace: Hyperbol Demo,0
X2: The Threat,72.522
X3: Reunion,57.852
X3: Terran Conflict,80
X: Beyond the Frontier,49.831
X: Tension,27.071
X Rebirth,50
688(I) Hunter/Killer,37.141
Fleet Command,70.911
Sub Command,28.044
FlatOut 2,90
Xpand Rally,74.376
Call of Juarez,80
Xpand Rally Xtreme,51.071
Men of War: Red Tide,78.405
King's Bounty: Armored Princess,79.776
King's Bounty Armored Princess Demo,0
Painkiller Demo,0
Genesis Rising,21.479
Safecracker: The Ultimate Puzzle Adventure,47.511
Painkiller Overdose,59.68
Painkiller Overdose Demo,0
Bejeweled 2 Deluxe,75.255
Bejeweled 2 Deluxe Free Demo,0
Chuzzle Deluxe,79.73
Chuzzle Deluxe Free Demo,0
Insaniquarium Deluxe,90
Insaniquarium Deluxe Free Demo,0
Zuma Deluxe,90
Zuma Deluxe Free Demo,0
AstroPop Deluxe,24.15
AstroPop Deluxe Free Demo,0
Bejeweled Deluxe,54.414
Bejeweled Deluxe Free Demo,0
Big Money! Deluxe,40.865
Big Money! Deluxe Free Demo,0
Dynomite Deluxe,63.189
Dynomite Deluxe Free Demo,0
Feeding Frenzy 2 Deluxe,89.997
Feeding Frenzy 2 Deluxe Free Demo,0
Hammer Heads Deluxe,20.139
Heavy Weapon Deluxe,65.09
Heavy Weapon Deluxe Free Demo,0
Iggle Pop Deluxe,23.058
Iggle Pop Deluxe Free Demo,0
Pizza Frenzy Deluxe,50.57
Pizza Frenzy Deluxe Free Demo,0
Typer Shark! Deluxe,66.973
Typer Shark! Deluxe Free Demo,0
Talismania Deluxe,23.906
Talismania Deluxe Free Demo,0
Peggle Deluxe,90
Peggle Deluxe Free Demo,3.414
Peggle Extreme,79.999
Venice Deluxe,6.977
Mystery P.I.™ - The Lottery Ticket,20.139
Mystery P.I.™ - The Lottery Ticket Free Demo,0
Amazing Adventures The Lost Tomb™,25.564
Amazing Adventures The Lost Tomb™ Demo,0
Mystery P.I.™ - The Vegas Heist,20.735
Mystery P.I.™ - The Vegas Heist Free Demo,0
Amazing Adventures Around the World,28.99
Amazing Adventures Around the World Demo,0
Peggle™ Nights,89.999
Bejeweled Twist,73.4
Bejeweled Twist Free Demo,0
Mystery P.I.™ - The New York Fortune,13.824
Mystery P.I.™ - The New York Fortune Demo,0
The Wizard's Pen™,13.259
The Wizard's Pen™ Free Demo,0
Plants vs. Zombies GOTY Edition,90
Plants vs. Zombies Demo,11.238
Escape Rosecliff Island,44.981
Escape Rosecliff Island Demo,0
Mystery P.I. - Lost in Los Angeles,14.197
Mystery P.I. - Lost in Los Angeles Demo,0
Zuma's Revenge!,80
Zuma's Revenge! Demo,0
Sniper Elite,60
Judge Dredd: Dredd vs. Death,79.655
Evil Genius,80
Aliens versus Predator Classic 2000,80
Advent Rising,55.338
BloodRayne (Legacy),57.028
BloodRayne 2 (Legacy),53.352
Psychonauts,90
BloodRayne 2 Demo,0
Sid Meier's Civilization® IV,80
Sid Meier's Civilization® III Complete,80
Sid Meier's Pirates!,80
Shattered Union,26.849
CivCity: Rome,58.923
Civilization IV®: Warlords,71.526
Garry's Mod,90
Poker Superstars II,3.613
Poker Superstars II Demo,0
RACE - The WTCC Game,37.141
RACE 07 Demo,0
RACE: Caterham Expansion,2.912
RoboBlitz,20.774
RoboBlitz Demo,0
Silverfall,25.171
Silverfall Demo,0
City Life 2008,39.004
Silverfall: Earth Awakening,21.742
S.T.A.L.K.E.R.: Shadow of Chernobyl,80
Full Spectrum Warrior,45.497
Full Spectrum Warrior: Ten Hammers,39.004
Company of Heroes - Legacy Edition,80
"Warhammer 40,000: Dawn of War - Anniversary Edition",90
"Warhammer® 40,000: Dawn of War® - Dark Crusade",90
Total War: MEDIEVAL II – Definitive Edition,90
Medieval II: Total War™ Demo,5.382
Condemned: Criminal Origins,80
Rome: Total War™ - Collection,80
Rome: Total War™ - Alexander,59.114
Medieval II: Total War™ Kingdoms,76.589
Heroes of Annihilated Empires,77.596
Heroes of Annihilated Empires Demo,0
Heroes... Multiplayer Demo,0
Cossacks: Back to War,80
Cossacks: Art of War,63.273
Cossacks: European Wars,56.424
Cossacks II: Battle for Europe,79.515
Zen of Sudoku,63.273
Natural Selection 2,80
STAR WARS™ Republic Commando™,90
Indiana Jones® and the Fate of Atlantis™,79.906
STAR WARS™ Jedi Knight - Jedi Academy™,90
STAR WARS™ Jedi Knight II - Jedi Outcast™,80
The Dig®,79.744
"STAR WARS™ Battlefront II (Classic, 2005)",80
Thrillville®: Off the Rails™,78.745
Armed and Dangerous®,60.371
Shank,80
Shank Demo,0
Ghost Master®,79.992
Vegas: Make It Big™,33.04
FlatOut,80
